YYYYMMDDhhmm    uv_5min
202001010500          0                                                         
202001010505          0                                                         
202001010510          0                                                         
202001010515          0                                                         
202001010520          0                                                         
202001010525          0                                                         
202001010530          0                                                         
202001010535          0                                                         
202001010540          0                                                         
202001010545          0                                                         
202001010550          0                                                         
202001010555          0                                                         
202001010600          0                                                         
202001010605          0                                                         
202001010610          0                                                         
202001010615          0                                                         
202001010620          0                                                         
202001010625          0                                                         
202001010630          0                                                         
202001010635          0                                                         
202001010640          0                                                         
202001010645          0                                                         
202001010650          0                                                         
202001010655          0                                                         
202001010700          0                                                         
202001010705          0                                                         
202001010710          0                                                         
202001010715          0                                                         
202001010720          0                                                         
202001010725          0                                                         
202001010730          0                                                         
202001010735          0                                                         
202001010740          0                                                         
202001010745        .01                                                         
202001010750        .01                                                         
202001010755        .01                                                         
202001010800        .02                                                         
202001010805        .04                                                         
202001010810        .04                                                         
202001010815        .05                                                         
202001010820        .07                                                         
202001010825        .08                                                         
202001010830        .09                                                         
202001010835        .12                                                         
202001010840        .17                                                         
202001010845        .24                                                         
202001010850        .28                                                         
202001010855        .28                                                         
202001010900        .32                                                         
202001010905        .34                                                         
202001010910        .57                                                         
202001010915        .96                                                         
202001010920       1.06                                                         
202001010925        1.1                                                         
202001010930        .96                                                         
202001010935        .99                                                         
202001010940       1.21                                                         
202001010945       1.55                                                         
202001010950       1.58                                                         
202001010955       1.48                                                         
202001011000       1.17                                                         
202001011005       1.46                                                         
202001011010       1.47                                                         
202001011015       1.52                                                         
202001011020       2.03                                                         
202001011025       2.48                                                         
202001011030       2.55                                                         
202001011035       2.23                                                         
202001011040        2.5                                                         
202001011045       2.35                                                         
202001011050       2.17                                                         
202001011055       2.34                                                         
202001011100       2.24                                                         
202001011105       2.83                                                         
202001011110       2.55                                                         
202001011115       2.38                                                         
202001011120       2.26                                                         
202001011125       2.22                                                         
202001011130       2.08                                                         
202001011135       1.71                                                         
202001011140       1.61                                                         
202001011145       1.92                                                         
202001011150       2.25                                                         
202001011155       2.42                                                         
202001011200       2.34                                                         
202001011205       2.48                                                         
202001011210       2.49                                                         
202001011215        2.1                                                         
202001011220       2.01                                                         
202001011225       1.93                                                         
202001011230        1.8                                                         
202001011235       1.63                                                         
202001011240       1.64                                                         
202001011245       1.57                                                         
202001011250       1.68                                                         
202001011255       1.81                                                         
202001011300       1.71                                                         
202001011305       1.56                                                         
202001011310       1.52                                                         
202001011315       1.49                                                         
202001011320        1.6                                                         
202001011325       1.72                                                         
202001011330       1.53                                                         
202001011335       1.52                                                         
202001011340       1.68                                                         
202001011345        1.4                                                         
202001011350       1.48                                                         
202001011355       1.43                                                         
202001011400       1.32                                                         
202001011405       1.44                                                         
202001011410       1.34                                                         
202001011415       1.38                                                         
202001011420       1.28                                                         
202001011425        1.1                                                         
202001011430       1.11                                                         
202001011435       1.03                                                         
202001011440       1.08                                                         
202001011445       1.09                                                         
202001011450       1.25                                                         
202001011455       1.15                                                         
202001011500        .89                                                         
202001011505        .78                                                         
202001011510        .86                                                         
202001011515        .92                                                         
202001011520         .9                                                         
202001011525        .85                                                         
202001011530        .73                                                         
202001011535        .74                                                         
202001011540        .62                                                         
202001011545        .57                                                         
202001011550        .61                                                         
202001011555        .53                                                         
202001011600        .42                                                         
202001011605        .37                                                         
202001011610        .38                                                         
